source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,輝達財報估明年營收成長70％ 台股開高走低收4萬5975點 - 公視新聞網PNN,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1sdW01MXV4a3pYVmpmNDBwaTdnZkhxVFVyN3dnRXlmTHBIQUk4MW5NajM4UWcyRlFoMGdBRkRtZ0lLLXZyelhsOXJOMVgxQkE?oc=5,2026-08-27 09:30,半導體 台股,positive,0.5,high,,輝達明年營收預期成長70%，利多市場預期，惟台股開高走低反映獲利了結
Google News,〈焦點股〉國喬股價連2天拉漲停 攜手日商跨足半導體特氣力拚轉型 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBtYUFCWVNQTXlncDBSMU93NFpYeW95S0xaN2tPc3hFLUg5VlNUckxaWHJ5Nk9aV3R5bVcxLVc0T2FLeHJpQ1ZicXJKU2F1WWM?oc=5,2026-08-27 03:43,半導體 台股,positive,0.7,medium,1312,國喬與日商合作進入半導體特氣領域，轉型題材發酵連拉漲停
Google News,亞翔在手訂單衝4400億元創高 AI半導體建廠潮 未來三年營運看增 - 理財周刊,https://news.google.com/rss/articles/CBMib0FVX3lxTE1CYnNxWE5KX3ZYdmwxSVd6NnltWlZKMWdYZlVxQ25XU0lwV1N6eFExbG5wRkJWM2tLQjZkb2tLMkdfZ0w1WFF0bDhRdHB2dXVxekpsNGZITl9LUTI2MHVOLUZwYjdYV2RGQlU4RWZycw?oc=5,2026-08-27 09:03,半導體 台股,positive,0.8,medium,1562,亞翔在手訂單創新高至4400億，AI半導體建廠潮推升未來營運
Google News,台積電德國廠創7000職缺 台德聯手搶半導體人才 - Yahoo股市,https://news.google.com/rss/articles/CBMixgJBVV95cUxPMWNoR1M0dTlFNWpleUhrQllzeDJZa1FvOG5zLXhfOERsNEFGckEwVUhIWkpMMkNaSmZDVGZpeEFOZFNjNkpxTUlwbVkyUTk1N1lPczF5ZEhuc0kxLTM2eUFjWGFCVlU5VG9ra2xCTmEzTWhQVi1TMXBDVEYycmRIeFVUelc4R0xXRnBRd05yMGZDN0gtUDlHTWJ6emZNaDBXc2xMY053N1M4UU5hTi02T2ZqaG0wSWUxZWhtNTh2MUxNX2lVc2dpMW1UMlBYcjNiem00bGVId1RWUnZxMkF1WWhYMkdwdnlfSGFMT1BPVGNvWHJZcUdaaWllbTFGUGtqWUJwYTFkdGV5RGxudUI2M1BtXy1ZNkNwT2FndnlGNFg1REl0aWlXM0JfTXlFUWN5OFJoSTRUbTJ6ZXBKS2NwN0lzV05WUQ?oc=5,2026-08-26 09:44,半導體 台股,positive,0.5,high,2330,台積電德國廠創7000職缺，展現全球擴張布局
Google News,美半導體股挫跌法人：台股待補量關注華許演說| 證券 - cna.com.tw,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1vczhpRkFSTDZ6NU1JUnhVWkpWc3Z0eGQ5Wmg2TWMtazA3Mk5LSGk5SmQ1OUx6N1Z6TGlhcUt5LWNxeVplalc5R19hOGNFNkNZdnQtTVhMTHlLZDVpQ2c?oc=5,2026-08-25 00:22,半導體 台股,negative,-0.4,high,,美半導體股挫跌，對台股半導體供應鏈構成利空壓力
Google News,【即時新聞】最新！台塑強攻半導體特化品領域，轉型題材發酵帶動今日盤中大漲逾5% - CMoney投資網誌,https://news.google.com/rss/articles/CBMikAFBVV95cUxOQzNucU5VZDNDSlJNZVFlSlhTSmZzbU9WZ2wtdUNoQjVROFNVTVk0N1BCdmprSl9fYUFzQ3oxSFp1VEhKU1pDZDF3M1JISmNsYy1uTTFOcDJuMEE3OWZHck9Camwyc1RCaThiZUgtMTAyMjBQVzRoZGxlR3VoTnU2RURFSmJYYUM5QnBxRTBuUUI?oc=5,2026-08-27 04:33,半導體 台股,positive,0.7,medium,1301,台塑進軍半導體特化品領域，轉型題材帶動盤中大漲逾5%
Google News,輝達營收翻倍成長 投信看好美台韓半導體鏈發展 - 自由時報,https://news.google.com/rss/articles/CBMiWEFVX3lxTE95dUQtczZZVkxUMHp1c3ZzRml5aVJpaGRwSWoyazJfNTl2QkxPTy1rS0IxS1I1bnMxVmt0dnR2M1k1eGZpc0hYR3ZBOXVyNngzczdkdnVFeTA?oc=5,2026-08-26 16:25,半導體 台股,positive,0.7,high,,輝達營收翻倍成長，法人看好台灣半導體供應鏈發展
Google News,輝達財報來襲　法人預期帶旺半導體供應鏈 - ETtoday財經雲,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1DZy1jSDdCeTg3OVpwel94V2ZPZDlBd2lJQkxCNldPektwZVdDRzJpOEtVYnZHNmFwSERCdUw1ZGF1NUl3UnpDc29MZjNXeVZQdkHSAVBBVV95cUxPZlRHQU5XRmw1VC1Yel8wRlVEWTUtd2ZwRWJDOFVhWEJuZFNfcGNSbW9KWmVfUTQ4UkQ4YzFIdEQyTVNua0FtLTJrd0VFdUhXbQ?oc=5,2026-08-26 10:04,半導體 台股,positive,0.6,high,,輝達財報預期帶旺台灣半導體供應鏈景氣
Google News,輝達財報公布前夕 半導體ETF股漲先行 - Yahoo新聞,https://news.google.com/rss/articles/CBMijAJBVV95cUxPMFBpZW1idHBYOHZJSEl5OXhGY0p3RUZ0NWI5eE1KN2U0NDR1RTNqejF0TDhXaWNtRFo0TmszcGR4dzgyYWpDTkRpZ1hKeE96V0FnU3Q0MDVjSm8xampDUWVOdGxRRUYzbmpJWEtiRjcwZW13N3NLd21JRHJKM3lCc0JZOGg0ZVJBdlU4LWUyQndzX2RfQWx3OTB6dG8tYmYtQ0E2OXBxQUFKXzVPcWlSNWJ2UTdQTER2LVhkRXNlZl84REVGNXFTZzZHekJ0T3hEZ0NtMVNOUkFha1ViZHdOWXBuWGRla05OcFAyUkRIMVc3Qy13eGR4MWZZNXptUEdxdjgtbTh6LUdUSXha?oc=5,2026-08-26 19:38,半導體 台股,positive,0.5,high,,輝達財報公布前夕，半導體股先行上漲反映市場樂觀預期
Google News,功率半導體回神 台半、強茂奔漲停 - 理財周刊,https://news.google.com/rss/articles/CBMib0FVX3lxTE5Ua3hnR0FRSmdGeVFZbUZtd2ttYjBiTFhVWTFLN09mcmNUdURXb3VMcnNmUmxsSFV6bVVucjkxVmFkZTRhNHhIVlRwX05qZVhkLS0wRzlZSlFHa0Vad0VPUlloSlJEY2NoQnVLcjJ3UQ?oc=5,2026-08-26 03:55,半導體 台股,positive,0.6,medium,"5434,2481",功率半導體景氣回升，台半及強茂漲停創高
Google News,台股月線失而復得 量縮震盪現轉機？ 半導體展前夕「高勝率名單」準備接棒！ - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBDRlZmQXJ4ZTZpOE9IdUo4WFV2Tmw1ZnozZ0IwS2hwZk51S0ZhY1oyeDdhbzFqdHF2ZWJXZmY0TlZNRVBtUzZwM3RBblZJNjg?oc=5,2026-08-25 07:51,半導體 台股,positive,0.4,high,,台股月線恢復，半導體展前市場對供應鏈後市樂觀
Google News,台股大漲收復季線，半導體在地供應鏈再升級-同學會主播-哈妮 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxQczk3YkRab0tNSDFrbUM0YTh2dEtXYV9tNUpnMUtMaVFWMTFJRnVoVnF1TU83MjBWVU5tSG9ybVBFUk43R014LWE2ZC1DRVdRU0luYlFKUkx1LWpFOE9jZXkxendKOXNqdnZhSTd5UUVsTGk3RldoWnRvVFdLTk5HbGZB?oc=5,2026-08-25 06:45,半導體 台股,positive,0.6,high,,台股收復季線，半導體在地供應鏈升級帶動市場
