source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,SEMICON 引爆押寶潮！這檔半導體股大秀肌肉亮燈漲停 - 經濟日報,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9icXJPSnNsNWlMaXhneDB4Unk2b1FHQVFQUTB6THFtV1J2b1RCeFE1SEY2aVk5UTNkZDQ2Vm1WM205UUVRTDBTbnFtMXJCRjg0MUtNTWlfb2ZXamvSAWBBVV95cUxPdTYyNG16SWhBUExuLUJ6NFV3eTd1TWJDVmpEMlBINFQ0S1FPZmNKTk9PVWFkdGM5OU1QaEVkVkRQT2QxeTJudUpNNmxfV3lpWVllb1BtVE5ZOHFOeUNjOVk?oc=5,2026-09-01 07:44,半導體 台股,positive,0.7,medium,,半導體股漲停，SEMICON展前市場看好
Google News,半導體權值股領軍，台股狂飆 820 點創新高，輝達結盟帶動聯發科漲停-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxPanlacUlJMF9fcmlJRGlOVWsyM0hLRUZ1NGRmVVNOVHVtQ1dibVdXYVpGTEpnUFBhdHBJR0NxYWFaVGk4cFIzN3ZHb0tPMmxaSUY1RmMxQ0Yzd3VXdnh0VThiSkZyYlo3NkQtZXdBdVkxU0xRU1JjZXNjM0UyQVBxZGpn?oc=5,2026-09-01 06:33,半導體 台股,positive,0.8,high,2454,台股創新高狂飆820點，聯發科漲停，輝達結盟帶動
Google News,未成年開戶8成資金！鎖定AI半導體 它年績效170%驚人 - 三立新聞網SETN.com,https://news.google.com/rss/articles/CBMiS0FVX3lxTE83UllyajVwZlk1RTlMSW9VVVV1YlpKTFFvYk1LQ3d1MjUwMEJQZElfaW1jMVV0S0FXNTJNamdMeFlUNXJab3otVEYybw?oc=5,2026-08-31 17:23,半導體 台股,positive,0.6,medium,,投資人加碼AI半導體，年績效170%顯示強勁需求
Google News,輝達加持！台股開盤上漲220點 聯發科跳空漲停衝4315元 - TVBS新聞網,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1HNUZCbGRSSmkxMWJtRHh0bzV1MHR3NGN2OHRmN2NIQWlLbUFJQTNnRVBUY2JwNU51dlhUOEJ5STlyYzVxaVVibjR0NmM2UUk?oc=5,2026-09-01 01:04,半導體 台股,positive,0.8,high,2454,輝達加持帶動開盤上漲，聯發科漲停衝4315元
Google News,早盤快訊》開盤大漲逾400點！聯發科強勢漲停，半導體族群領漲、力旺亮燈漲停| 下班經濟學| 財經 - 風傳媒,https://news.google.com/rss/articles/CBMiTkFVX3lxTE8zOTBVN2NQdGV0dEhzdzlWNkFvcnBQSzI0d3VLTEZBSzFMNXphLTdiVEJhTEpMZVM4cW1JX3VWRWhqWF9tV1JqcDNoQVRLdw?oc=5,2026-09-01 02:05,半導體 台股,positive,0.8,high,"2454,3529",開盤大漲400點，聯發科、力旺雙雙漲停領漲
Google News,TWA00 加權指數- 半導體展前夕台股重挫，欣興涉洗產地遭搜- 股市爆料同學會 - CMoney,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5FY29GMWRRcHVxLUtRYXNveFluZkliaXhaeERkNzR5dWwxelRialVXQ205ZENhc3dBUEpOS2Y2WExpRktIVXoyUkl4Z3dwandGd2ZILVlJRXo?oc=5,2026-08-31 01:31,半導體 台股,negative,-0.7,high,3037,台股重挫，欣興涉洗產地遭搜索風暴
Google News,投資人瘋撿折扣價！這三檔台股半導體 ETF 定期定額人數翻倍增 - 經濟日報,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBobE5QX2ZfWkc2SmdQRFQ0a29hdkxHSEpNaUs3V2V1c1dZLTJHQjBpaEZnRWVCdDQ1bHBKMC1FbV96RmRUaWY4ZjlyRFpwWmg1ZzV3SEwzRm9Md9IBX0FVX3lxTE5uakZJM01mQzQ1LXYtRy1aNFFLQnV6d2M2YWRhT0ZJMFJqMHZTZHNMUi1uQXNDbjVFX0JISlp5WHF2NnJDUXB6Y0VBWHZQaVM5YnVwSnlWY1Bia3lJRkhV?oc=5,2026-08-30 09:00,半導體 台股,positive,0.5,medium,,投資人搶進半導體ETF折扣價，定期定額人數翻倍增
Google News,半導體產業迎1.5兆美元商機！最新AI與矽光子發威，台積電領軍CPO量產-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxQaWRTb0hDeEl5Z3NDY3VEYmxYaHV5cnE5N1BsbG1fUE5DQV9STk8tVGJMNGw0dWhBZDlZeXB2RUJsNUl2c2JLa0thMWRkSTJ2TDhwVXRwMjhqUmRrcVowOFVoZnU0bEJza2lVbkZYUVlLUnZNWGczUzZkU3pCbk80dHZ3?oc=5,2026-09-01 01:34,半導體 台股,positive,0.7,high,2330,半導體產業迎1.5兆美元商機，台積電領軍CPO量產
Google News,研華邊緣、實體A雙軸並進 布局半導體三大應用 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE54czJNbU9za2dGdXhSWG9oOUNsWWVnbkwyREtvT0xCb3haNk0xQUltMHBjT2F4NGpjcnUyTm1FMWNUSDNPemY0dGVNMHRJdVE?oc=5,2026-09-01 03:24,半導體 台股,positive,0.5,medium,2395,研華布局半導體三大應用，邊緣與實體雙軸成長
Google News,輝達、聯發科深化結盟 大摩三理由看好台灣半導體 00891帶量收復季線 - UDN,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1hb0tQclY3NXVYU05EVHBNUS1KOEgyNTNsT2NEMFBJYXFsNUVUZ1VsSk5Rd0ZjUl93VmU4UVFHY2VmbEhVX0lHdEY0QTBOcjdQUU9r0gFYQVVfeXFMTVhzSGRyWkMyT2RiWV8tdFBzeVJJeXFDcEtDcFp3am9YT2JjTVd3dnUzUVZnUzl6YjFleTc2enQwcXcyX1dvM0dGbk1XZUVCTnJ3SGkxaHlPaA?oc=5,2026-09-01 07:15,半導體 台股,positive,0.7,high,"2454,00891",輝達、聯發科深化結盟，大摩看好台灣半導體前景
Google News,半導體展將開展 寒舍樂觀看挹注飯店業Q3動能 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5TYmk2dEc2eXgyVU9QLVBscDlvZVZpMV9ORVdFZEdGa19PUTdiRmZodmxxc0V0dkV5NER0eXhncVlyZm85TVFYM1lqTXowTms?oc=5,2026-09-01 01:55,半導體 台股,positive,0.4,low,2739,半導體展開展帶動飯店業Q3動能，寒舍受惠
Google News,AI半導體供應鏈迎投資熱，最新市場規模破1.5兆美元，帶動台積電等台廠佈局-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxNRXRCQzhZZE14THdRS2Z1LW5SYnVJTzVMeDlCRGZONG1IdWdYcUpzUk1BaG1LZVpBUGpZRF9KSG5wUnRxeHdVWFV3TTgxMWM2VFdPQTgwOTJFTjl0NEZjZlN3Ni02cmdobloyazZOUXk0Ym9lYXN6Z2JpYWtGWWJDRHZn?oc=5,2026-09-01 06:04,半導體 台股,positive,0.7,high,2330,AI半導體投資熱潮延續，市場規模破1.5兆美元
