source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,專家看盤》鷹派聯準會也壓不住半導體！台股今拚補量站回5日線| 財經 - Newtalk新聞,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9xb2Exb1pRSk1VZGIxY3R6RG9TTDdBbHpXSFh3ZjVXWFBZMDZXRzlkLVVLS0NOZlhoeWRxeHJxUVR4cmFqNlZQdzEycjI2ZWYtb0Y4eXJIaXdpNzQ?oc=5,2026-09-17 01:22,半導體 台股,positive,0.65,high,,聯準會升息未能壓制半導體產業，台股技術面轉強
Google News,台德半導體交流會登場 國科會：深化雙方半導體晶片與產業創新策略 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTFA5QkcxYlZnc18xNGlVQXIwVUMwbldJUHdGbndrRGZwM21uTkNJRldac0Q3T3FIR3BRTzQtenlJMHVqNUFuRUloU3U1VUdHOEk?oc=5,2026-09-17 04:08,半導體 台股,neutral,0.1,medium,,國策層級晶片產業交流合作，長期利好但無即時業績影響
Google News,記憶體供應鏈遇罷工變數，台股無懼升息強彈逾三百點，半導體產能排擠發酵-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxNbVNpOXpjY3BuY3BtRFN0MmxTRmVMQVZ3dWNWMFF2SWFadV84eUhtZkYzWTM5bVhiVlFJUDlwM2d6Zlcya3Y2MTJtQUZDXzRxaEs0YTVZN2NzN2t1TVE0WlZOT3pqMl9rb2hXNm16Q1BLY1J5MlBpOFlIR2dOQ2hBNE9R?oc=5,2026-09-17 03:53,半導體 台股,positive,0.5,high,,台股大幅上漲逾300點，半導體產能排擠支撐股價
Google News,科技半導體ETF績優 今年來00913漲逾106%奪冠 - UDN,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBpU0h2SERNTTlXOUJfMFJvSV85WWs1eFR4aWItbUF0enlfNXR1S2xEY2tNNkJZMjludjRiT3RCTG00bFNpN3ZXUEROMUVNdF9aN0dv0gFYQVVfeXFMT0JlYWxmTXRFLTdVdGJuUjAxNHVtYU5MUm5oZjNWazdXSFo4bnREYWFwQUZOMWNOYVIycnlwbmotalI0b1Z0MEY2UzVja0lMcU5EWUxBaVVUUg?oc=5,2026-09-16 15:20,半導體 台股,positive,0.75,medium,,半導體ETF年漲幅超106%，產業景氣熱絡
Google News,AI投資熱潮擴散 安聯00412A瞄準亞洲半導體供應鏈評價重估契機 - 中央社 CNA,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1IS0NHbm1CdWtDVVlHa044b1BycXZqZXEwRU81ZFhFYi1PcldKZkItQzVzYlR6MVNxbVF2ZWh6T2pxV1dZaFp0WGZ0dkNCVTBMTkpiU3l6VFA0Zw?oc=5,2026-09-17 02:34,半導體 台股,positive,0.65,medium,,AI投資浪潮驅動亞洲半導體供應鏈重估機會
Google News,1圖PK》台半、德微、強茂...功率半導體3雄漲停還能追？專家揭4指標、3看點：擺脫AI題材股- 上市櫃 - 旺得富理財網,https://news.google.com/rss/articles/CBMiakFVX3lxTFBXOHFuQnFncWhHaHlrSF9BVmVOSV9RMmw2ZEhGX292Y01xZ3dab0ZMM3lKZ3pPbmpxRmROSjViNDV2QUpwR0JwczFzT1AyTE5jMjg2bGFEMnpPNFAtTTQ3TW5YSllRV2lxS3c?oc=5,2026-09-17 00:05,半導體 台股,positive,0.75,medium,"5434,1597,2374",功率半導體三雄漲停，產業景氣動能強勁
Google News,瑞銀論壇挺台股！ 半導體週期一路看到2028年、明年企業獲利增31% - Yahoo新聞,https://news.google.com/rss/articles/CBMi8wJBVV95cUxNOVNFVlVkc2MyVHV6Y04tZ1NXT1htQVoteUQwMFZuUk1xWXQyU0RXZE5YWWo0LXRpN1ROVFNRbnVVbVFQaWxvdEN1X0xDVUhkNEh5UFY0NlVWckM1c1JfWWFFdkg3b0N2VXBnQVJNdUdMWk1oTVUxNVZ2ZXdKSXQtOEdjTHdNNWRINEVFaTljN0pWYXJNQ3BTcGhXenJvckFUaHR4bmx0Sjcyb1pxQzVzU3V3NF90MTBPX2pHalYwWUpSYVc1SVp0UU8yZldMUVdoOGFkSWZ2UmZ2Y0RkQlVBamQwTGRmb2lRS0FROEVjMjJGeEttaVhuOVUyaVFtU0hTWXJMMi1HNHZfLTNNeE5MWXQxNVV4eFpRTlh0cXZiUHdNSDBHX1JIaXhGMUhITkxpNFYxaUowSzhpQzdXQzhValkyUm9meXBKejRuQnN0NHRkX2tiNTRXQzJkemI2bFpaVmxEbXJPM0NfNkc5LW4xcHlRNA?oc=5,2026-09-16 07:15,半導體 台股,positive,0.8,high,,外資預測半導體週期至2028年，明年企業獲利增31%
Google News,半導體商機上看32兆美元 這4檔股票可望受惠 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1KaUJDU01FcDZBekFXZTZuMktjUE9teXBSek9nb1BwVVBVamtSMWYtTnJuVE1zS2hsNlhNN3dVTl9yRHhtOWJkS2FoaVpQbmM?oc=5,2026-09-16 03:23,半導體 台股,positive,0.7,high,,半導體市場商機達32兆美元，產業發展前景光明
Google News,聯準會升息確立！台股迎8000億解凍資金，外資轉向半導體類股配置-財經焦點情報站 - CMoney投資網誌,https://news.google.com/rss/articles/CBMiggFBVV95cUxNMW13WlAtQkVKTE5WR0RTZ09nYXpDTzQ5R29MT3VLUFVJcDFfLW1zRE4xcklTMk4tdE1FUExsRkw1SnF1blozTzRKYVo3cloxOFg4WkJoTFlLUWJxdUNxczc5Y2k4NlhFVEc0Zkc3R1U4VFdTM1FMREU0LTZZZHd3N2tB?oc=5,2026-09-16 22:52,半導體 台股,positive,0.65,high,,聯準會升息確定，8000億資金轉向半導體類股配置
Google News,揚博對PCB與半導體設備雙箭頭樂觀成長動能但暫無籌資計畫 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9vZzBoQzVCcF9Xa1ZSdHB1ZGctV2R2OUlnN0ZseUJmWUd6eW05YlBUQzlDZDhfNXM4YnFnMm9RRERPNUZRSjNnUGVjckZiRDQ?oc=5,2026-09-17 10:09,半導體 台股,positive,0.5,low,5215,揚博看好PCB與半導體設備業務成長動能
